Clicks;City
10;SaintPetersburg
34;SaintPetersburg
32;SaintPetersburg
4;SaintPetersburg
3;Novosibirsk
2;SaintPetersburg
4;Moscow
3;Moscow
2;Novosibirsk
7;Moscow
7;SaintPetersburg
7;SaintPetersburg
2;SaintPetersburg
13;SaintPetersburg
1;Moscow
1;Moscow
2;SaintPetersburg
4;SaintPetersburg
18;Novosibirsk
16;SaintPetersburg
2;SaintPetersburg
48;Novosibirsk
2;Moscow
3;SaintPetersburg
1;Novosibirsk
1;Novosibirsk
2;Moscow
2;SaintPetersburg
2;Moscow
5;SaintPetersburg
12;SaintPetersburg
23;SaintPetersburg
5;SaintPetersburg
1;SaintPetersburg
1;Moscow
2;Novosibirsk
6;SaintPetersburg
1;SaintPetersburg
2;Moscow
3;Moscow
66;Moscow
2;Moscow
3;SaintPetersburg
2;Moscow
3;SaintPetersburg
1;SaintPetersburg
1;Moscow
2;Moscow
30;Moscow
1;SaintPetersburg
11;Moscow
4;SaintPetersburg
3;SaintPetersburg
2;Moscow
2;SaintPetersburg
1;Moscow
1;SaintPetersburg
1;SaintPetersburg
5;SaintPetersburg
7;Moscow
8;SaintPetersburg
2;Moscow
1;SaintPetersburg
1;SaintPetersburg
2;Moscow
2;Moscow
1;SaintPetersburg
45;SaintPetersburg
19;Moscow
11;SaintPetersburg
22;Novosibirsk
3;SaintPetersburg
3;SaintPetersburg
1;Moscow
1;Moscow
1;SaintPetersburg
64;Novosibirsk
26;SaintPetersburg
7;Novosibirsk
1;Moscow
1;Novosibirsk
2;Moscow
1;SaintPetersburg
55;SaintPetersburg
18;Novosibirsk
15;Novosibirsk
12;SaintPetersburg
4;Novosibirsk
1;Moscow
3;Moscow
2;Moscow
2;Moscow
3;Moscow
231;Novosibirsk
8;Moscow
8;SaintPetersburg
8;SaintPetersburg
10;SaintPetersburg
10;SaintPetersburg
2;Novosibirsk
2;Moscow
1;SaintPetersburg
3;Moscow
7;Novosibirsk
1;Novosibirsk
2;Moscow
1;Moscow
1;Moscow
1;Moscow
1;SaintPetersburg
22;SaintPetersburg
15;Moscow
6;Moscow
2;SaintPetersburg
1;SaintPetersburg
2;Novosibirsk
4;Moscow
6;Moscow
3;Novosibirsk
13;SaintPetersburg
1;Moscow
11;SaintPetersburg
2;SaintPetersburg
1;Novosibirsk
8;Novosibirsk
15;Moscow
7;Novosibirsk
15;Moscow
2;SaintPetersburg
1;Moscow
2;SaintPetersburg
8;SaintPetersburg
8;Moscow
3;Novosibirsk
7;Moscow
2;SaintPetersburg
1;Novosibirsk
2;SaintPetersburg
9;SaintPetersburg
24;Novosibirsk
2;Moscow
2;SaintPetersburg
1;SaintPetersburg
7;Moscow
2;Moscow
3;Moscow
2;Moscow
1;SaintPetersburg
2;Moscow
2;Moscow
2;SaintPetersburg
29;SaintPetersburg
18;Moscow
1;SaintPetersburg
3;Moscow
9;Moscow
7;Moscow
13;Novosibirsk
10;Moscow
8;Moscow
1;Moscow
8;Moscow
25;Moscow
4;SaintPetersburg
3;SaintPetersburg
1;SaintPetersburg
2;SaintPetersburg
7;SaintPetersburg
8;Moscow
1;Moscow
2;Moscow
8;Moscow
35;Moscow
13;SaintPetersburg
2;Moscow
1;SaintPetersburg
3;Novosibirsk
1;Moscow
1;SaintPetersburg
1;SaintPetersburg
1;Novosibirsk
6;SaintPetersburg
5;Novosibirsk
7;SaintPetersburg
20;Novosibirsk
6;Moscow
1;SaintPetersburg
1;SaintPetersburg
102;Novosibirsk
16;Moscow
4;Moscow
2;SaintPetersburg
2;Novosibirsk
9;SaintPetersburg
1;Moscow
2;Moscow
1;Moscow
3;Moscow
6;SaintPetersburg
2;Moscow
2;SaintPetersburg
2;SaintPetersburg
1;Moscow
2;SaintPetersburg
14;SaintPetersburg
5;SaintPetersburg
56;Novosibirsk
9;Moscow
9;Novosibirsk
4;Moscow
6;SaintPetersburg
1;Moscow
1;Moscow
1;Moscow
3;Novosibirsk
2;Moscow
7;Moscow
13;Moscow
4;Moscow
5;Novosibirsk
16;SaintPetersburg
1;Moscow
1;SaintPetersburg
5;Moscow
5;Moscow
1;Moscow
2;Moscow
123;Novosibirsk
25;Moscow
15;Novosibirsk
9;SaintPetersburg
9;Moscow
15;SaintPetersburg
3;SaintPetersburg
1;Moscow
1;Moscow
1;Novosibirsk
1;Moscow
1;SaintPetersburg
62;Novosibirsk
6;Novosibirsk
1;SaintPetersburg
6;Moscow
8;Moscow
1;Moscow
1;Moscow
6;SaintPetersburg
1;Moscow
2;Novosibirsk
3;SaintPetersburg
3;SaintPetersburg
6;Moscow
33;SaintPetersburg
34;Moscow
2;SaintPetersburg
1;SaintPetersburg
1;Moscow
1;Moscow
1;SaintPetersburg
3;Novosibirsk
2;SaintPetersburg
1;Moscow
17;Novosibirsk
2;SaintPetersburg
9;SaintPetersburg
1;Moscow
2;SaintPetersburg
5;SaintPetersburg
2;SaintPetersburg
1;Moscow
10;SaintPetersburg
2;SaintPetersburg
5;Moscow
5;SaintPetersburg
5;SaintPetersburg
5;SaintPetersburg
1;Moscow
1;SaintPetersburg
4;Novosibirsk
24;Moscow
4;Moscow
2;Moscow
7;Moscow
8;Moscow
1;SaintPetersburg
3;SaintPetersburg
6;Moscow
18;Moscow
7;SaintPetersburg
4;Moscow
12;Moscow
50;SaintPetersburg
5;SaintPetersburg
5;SaintPetersburg
5;Novosibirsk
1;Moscow
1;Moscow
1;Novosibirsk
1;SaintPetersburg
12;Moscow
1;SaintPetersburg
11;SaintPetersburg
1;SaintPetersburg
2;SaintPetersburg
1;Moscow
3;SaintPetersburg
56;Novosibirsk
1;SaintPetersburg
4;Moscow
26;Novosibirsk
2;Moscow
13;Moscow
7;SaintPetersburg
6;SaintPetersburg
2;Moscow
30;SaintPetersburg
2;Moscow
