Clicks;Calls;Sites;Position;DayOfWeek;HasSocialAccounts;nom1;nom2;nom3;nom4;nom5;nom6
143;13;27;2;5;1;0;0;0;0;1;0
126;10;29;2;5;1;0;0;0;0;1;0
121;14;28;3;4;1;0;0;0;1;0;0
120;6;17;1;3;1;0;0;1;0;0;0
111;8;24;2;4;1;0;0;0;1;0;0
96;7;37;6;3;1;0;0;1;0;0;0
93;5;19;2;5;1;0;0;0;0;1;0
88;6;17;8;5;1;0;0;0;0;1;0
87;3;27;1;7;1;0;0;0;0;0;0
87;9;23;2;6;1;0;0;0;0;0;1
87;7;21;3;2;1;0;1;0;0;0;0
84;9;21;4;4;1;0;0;0;1;0;0
82;5;11;2;4;1;0;0;0;1;0;0
78;3;18;1;4;1;0;0;0;1;0;0
77;8;24;8;5;0;0;0;0;0;1;0
74;7;15;2;6;1;0;0;0;0;0;1
74;8;28;3;3;1;0;0;1;0;0;0
73;10;46;4;5;1;0;0;0;0;1;0
72;6;15;3;3;1;0;0;1;0;0;0
71;6;45;5;6;1;0;0;0;0;0;1
71;9;13;18;3;1;0;0;1;0;0;0
69;12;30;8;4;1;0;0;0;1;0;0
68;11;14;3;5;0;0;0;0;0;1;0
67;13;11;2;3;0;0;0;1;0;0;0
67;9;28;16;3;0;0;0;1;0;0;0
67;9;34;8;3;1;0;0;1;0;0;0
67;10;11;3;1;1;1;0;0;0;0;0
67;6;8;2;1;1;1;0;0;0;0;0
65;6;15;2;2;1;0;1;0;0;0;0
64;12;34;3;6;1;0;0;0;0;0;1
64;8;19;3;4;1;0;0;0;1;0;0
64;11;39;4;3;1;0;0;1;0;0;0
61;12;16;3;3;0;0;0;1;0;0;0
61;7;20;1;5;1;0;0;0;0;1;0
60;8;17;4;3;1;0;0;1;0;0;0
60;7;15;7;4;1;0;0;0;1;0;0
59;7;13;2;6;0;0;0;0;0;0;1
59;3;8;5;4;1;0;0;0;1;0;0
59;5;14;4;3;1;0;0;1;0;0;0
59;6;19;31;5;1;0;0;0;0;1;0
58;8;30;4;2;1;0;1;0;0;0;0
58;9;30;4;1;1;1;0;0;0;0;0
57;9;14;2;3;1;0;0;1;0;0;0
57;10;18;10;3;1;0;0;1;0;0;0
57;9;19;2;6;1;0;0;0;0;0;1
57;6;10;3;4;1;0;0;0;1;0;0
57;6;20;5;5;1;0;0;0;0;1;0
57;3;17;2;6;1;0;0;0;0;0;1
56;6;29;5;2;1;0;1;0;0;0;0
56;8;20;4;5;1;0;0;0;0;1;0
55;10;22;2;4;0;0;0;0;1;0;0
55;13;30;6;2;1;0;1;0;0;0;0
55;6;14;2;1;1;1;0;0;0;0;0
54;5;27;5;1;1;1;0;0;0;0;0
54;5;18;3;2;1;0;1;0;0;0;0
54;11;27;5;3;1;0;0;1;0;0;0
53;8;19;6;3;1;0;0;1;0;0;0
53;3;3;1;3;1;0;0;1;0;0;0
53;8;24;5;4;1;0;0;0;1;0;0
52;8;17;4;5;1;0;0;0;0;1;0
52;8;29;6;5;1;0;0;0;0;1;0
52;7;18;2;7;1;0;0;0;0;0;0
52;8;18;2;5;1;0;0;0;0;1;0
52;4;10;19;5;1;0;0;0;0;1;0
52;3;10;17;2;1;0;1;0;0;0;0
52;4;20;5;6;1;0;0;0;0;0;1
51;7;26;27;1;1;1;0;0;0;0;0
51;11;11;4;3;1;0;0;1;0;0;0
51;5;13;11;3;1;0;0;1;0;0;0
50;6;13;4;2;0;0;1;0;0;0;0
50;6;14;5;1;1;1;0;0;0;0;0
49;8;18;3;3;1;0;0;1;0;0;0
48;4;14;8;4;1;0;0;0;1;0;0
48;4;10;3;7;1;0;0;0;0;0;0
47;3;9;9;3;1;0;0;1;0;0;0
47;13;27;33;2;1;0;1;0;0;0;0
46;5;12;9;5;1;0;0;0;0;1;0
45;5;10;5;6;1;0;0;0;0;0;1
45;5;14;8;2;1;0;1;0;0;0;0
45;6;9;8;4;1;0;0;0;1;0;0
44;6;10;4;3;1;0;0;1;0;0;0
44;10;19;4;7;1;0;0;0;0;0;0
43;6;6;1;1;1;1;0;0;0;0;0
43;7;11;8;4;1;0;0;0;1;0;0
43;3;11;13;2;1;0;1;0;0;0;0
42;5;11;2;1;1;1;0;0;0;0;0
42;1;1;1;2;1;0;1;0;0;0;0
41;3;12;9;6;1;0;0;0;0;0;1
41;5;10;6;1;1;1;0;0;0;0;0
41;4;9;5;2;1;0;1;0;0;0;0
41;6;11;12;1;1;1;0;0;0;0;0
40;5;8;12;4;1;0;0;0;1;0;0
40;2;11;1;3;1;0;0;1;0;0;0
40;6;14;2;2;1;0;1;0;0;0;0
40;6;15;3;1;1;1;0;0;0;0;0
39;5;8;3;2;1;0;1;0;0;0;0
39;5;8;26;3;1;0;0;1;0;0;0
39;6;20;124;1;1;1;0;0;0;0;0
38;4;13;6;3;1;0;0;1;0;0;0
38;6;19;10;4;1;0;0;0;1;0;0
38;10;5;1;3;0;0;0;1;0;0;0
38;5;11;2;1;1;1;0;0;0;0;0
37;7;8;5;3;1;0;0;1;0;0;0
37;6;6;2;5;0;0;0;0;0;1;0
37;4;14;3;2;1;0;1;0;0;0;0
37;6;10;25;5;1;0;0;0;0;1;0
37;4;21;4;4;1;0;0;0;1;0;0
36;6;9;4;5;1;0;0;0;0;1;0
36;5;8;1;6;1;0;0;0;0;0;1
36;5;10;5;3;1;0;0;1;0;0;0
35;4;8;34;4;1;0;0;0;1;0;0
35;5;24;65;5;1;0;0;0;0;1;0
35;5;10;2;7;0;0;0;0;0;0;0
35;2;14;22;1;1;1;0;0;0;0;0
34;4;12;4;7;0;0;0;0;0;0;0
34;5;18;7;7;1;0;0;0;0;0;0
